Season,Date,Referee,HomeTeam,AwayTeam,FullTime,HalfTime,HomeGoals,HomeGoalsHalftime,HomeShots,HomeShotsOnTarget,HomeCorners,HomeFouls,HomeYellowCards,HomeRedCards,AwayGoals,AwayGoalsHalftime,AwayShots,AwayShotsOnTarget,AwayCorners,AwayFouls,AwayYellowCards,AwayRedCards
2010/11,2010-10-02,15,27,8,HomeWin,Draw,2,0,24,17,3,9,1,0,0,0,2,0,3,12,2,1
2010/11,2010-10-03,23,1,2,HomeWin,HomeWin,2,1,11,6,10,7,1,0,0,0,13,5,10,12,1,0
2010/11,2010-10-03,8,29,30,AwayWin,AwayWin,1,0,19,10,5,11,2,0,2,2,11,7,2,10,1,0
2010/11,2010-10-03,6,36,3,HomeWin,Draw,2,1,9,5,4,11,3,0,1,1,8,4,4,13,2,0
2010/11,2010-10-16,6,2,20,HomeWin,Draw,2,1,18,13,7,16,2,1,1,1,6,4,3,9,2,0
2010/11,2010-10-16,15,14,1,Draw,Draw,0,0,11,5,9,11,4,0,0,0,13,6,5,11,3,0
2010/11,2010-10-16,10,12,19,HomeWin,HomeWin,2,1,11,6,5,10,2,1,1,0,8,3,6,8,2,0
2010/11,2010-10-16,23,16,25,AwayWin,Draw,1,1,11,5,4,9,1,0,2,1,14,6,11,10,1,0
2010/11,2010-10-16,8,33,6,Draw,HomeWin,2,2,16,9,3,10,1,0,2,0,7,2,2,7,2,0
2010/11,2010-10-16,22,3,27,Draw,AwayWin,2,0,9,4,6,13,2,0,2,2,8,4,3,14,1,0
2010/11,2010-10-16,3,8,13,Draw,HomeWin,1,1,9,5,8,10,0,0,1,0,9,7,3,8,1,0
2010/11,2010-10-17,29,30,36,AwayWin,Draw,2,0,16,5,3,9,0,0,3,0,13,8,9,9,2,0
2010/11,2010-10-17,33,17,29,HomeWin,HomeWin,2,1,9,6,8,10,2,0,0,0,15,9,7,9,2,0
2010/11,2010-10-18,14,10,26,Draw,Draw,0,0,9,3,5,12,2,1,0,0,16,7,3,11,1,0
2010/11,2010-10-23,35,20,30,HomeWin,HomeWin,2,1,17,8,9,8,1,0,0,0,14,6,10,16,1,0
2010/11,2010-10-23,14,1,8,HomeWin,HomeWin,2,1,17,10,8,8,1,0,0,0,12,9,8,8,2,0
2010/11,2010-10-23,22,26,14,HomeWin,HomeWin,1,1,13,6,4,11,1,0,0,0,11,7,11,13,2,0
2010/11,2010-10-23,8,25,17,Draw,Draw,1,1,13,8,4,15,3,0,1,1,7,3,4,14,1,0
2010/11,2010-10-23,11,6,16,HomeWin,HomeWin,2,2,14,7,7,3,0,0,1,1,9,3,5,8,0,0
2010/11,2010-10-23,17,13,3,AwayWin,Draw,1,1,5,1,2,12,0,0,2,1,13,8,6,6,0,0
2010/11,2010-10-23,33,27,12,Draw,Draw,1,0,15,9,5,8,0,0,1,0,9,2,0,14,2,0
2010/11,2010-10-24,29,29,10,HomeWin,Draw,2,0,17,10,15,17,2,0,1,0,4,2,4,12,3,0
2010/11,2010-10-24,3,36,2,AwayWin,AwayWin,0,0,9,6,6,11,2,1,3,1,12,8,7,10,4,0
2010/11,2010-10-24,32,19,33,AwayWin,AwayWin,1,0,6,2,5,6,2,0,2,1,12,5,6,13,2,0
2010/11,2010-10-30,8,2,13,HomeWin,Draw,1,0,20,13,7,14,2,0,0,0,6,3,4,18,2,0
2010/11,2010-10-30,10,10,1,AwayWin,Draw,1,1,13,6,4,12,2,0,2,1,16,9,5,14,2,0
2010/11,2010-10-30,14,17,19,HomeWin,Draw,1,0,18,10,6,16,1,0,0,0,9,1,2,14,1,0
2010/11,2010-10-30,32,16,27,HomeWin,HomeWin,2,2,15,9,7,7,0,0,0,0,8,3,1,12,0,0
2010/11,2010-10-30,3,33,25,HomeWin,HomeWin,2,1,18,10,1,12,0,0,0,0,11,5,4,10,3,0
2010/11,2010-10-30,23,8,36,HomeWin,Draw,2,1,10,6,5,5,1,0,1,1,17,9,7,14,2,0
2010/11,2010-10-31,33,14,20,Draw,Draw,0,0,7,3,1,13,2,0,0,0,10,6,4,11,3,0
2010/11,2010-10-31,6,12,29,AwayWin,Draw,0,0,14,10,1,15,2,0,1,0,10,4,4,13,2,0
2010/11,2010-10-31,29,3,26,HomeWin,HomeWin,5,3,16,12,8,8,3,0,1,0,11,5,6,18,6,1
2010/11,2010-11-01,4,30,6,HomeWin,HomeWin,2,1,21,8,8,16,2,0,1,0,12,5,2,13,3,2
2010/11,2010-11-06,4,20,13,Draw,Draw,2,0,8,5,3,12,0,0,2,0,16,8,4,14,1,0
2010/11,2010-11-06,11,10,27,HomeWin,Draw,2,0,10,3,3,16,0,0,1,0,16,10,6,15,2,0
2010/11,2010-11-06,32,30,17,Draw,Draw,2,1,11,8,3,14,2,0,2,1,20,14,7,12,1,0
2010/11,2010-11-06,17,12,25,HomeWin,HomeWin,4,1,18,8,7,13,1,0,2,0,11,6,6,9,0,0
2010/11,2010-11-06,10,16,14,Draw,AwayWin,1,0,14,10,3,12,1,0,1,1,15,8,3,4,0,0
2010/11,2010-11-06,29,33,8,HomeWin,HomeWin,2,1,14,10,3,6,1,0,1,0,8,6,2,11,0,0
2010/11,2010-11-06,6,26,19,HomeWin,HomeWin,2,1,14,7,6,10,0,0,0,0,11,5,9,13,5,0
2010/11,2010-11-07,23,2,3,AwayWin,AwayWin,0,0,11,8,12,16,3,1,1,1,7,2,2,12,1,0
2010/11,2010-11-07,33,29,1,HomeWin,HomeWin,2,2,9,7,2,15,0,0,0,0,11,7,5,17,2,0
2010/11,2010-11-07,14,6,36,AwayWin,AwayWin,0,0,13,7,6,15,3,1,2,2,9,5,1,16,4,1
2010/11,2010-11-09,3,19,20,HomeWin,HomeWin,3,1,19,12,10,6,0,0,2,0,14,10,4,8,0,0
2010/11,2010-11-09,33,25,26,Draw,Draw,1,0,20,12,17,6,2,0,1,0,8,4,3,15,1,0
2010/11,2010-11-10,35,14,30,HomeWin,Draw,3,1,19,12,11,7,2,0,2,1,12,6,8,10,3,0
2010/11,2010-11-10,6,1,16,HomeWin,HomeWin,1,1,19,10,4,14,2,1,0,0,5,3,4,15,0,0
2010/11,2010-11-10,29,17,12,Draw,Draw,1,0,23,12,15,8,0,1,1,0,10,5,10,12,3,0
2010/11,2010-11-10,17,36,33,Draw,Draw,0,0,6,4,8,10,0,0,0,0,7,4,5,12,2,0
2010/11,2010-11-10,8,3,10,AwayWin,AwayWin,1,0,9,3,4,16,3,0,2,1,7,5,1,15,4,0
2010/11,2010-11-10,23,13,6,Draw,Draw,2,1,8,5,6,13,3,0,2,1,14,6,7,5,0,0
2010/11,2010-11-10,10,27,29,Draw,AwayWin,1,0,10,8,5,7,0,0,1,1,8,3,4,10,2,0
2010/11,2010-11-10,22,8,2,AwayWin,AwayWin,0,0,14,7,5,7,1,0,2,1,12,8,2,14,2,0
2010/11,2010-11-13,23,14,33,Draw,Draw,2,0,12,6,9,11,3,0,2,0,16,10,7,9,4,0
2010/11,2010-11-13,8,36,20,Draw,Draw,0,0,21,11,6,15,2,0,0,0,5,3,4,11,0,0
2010/11,2010-11-13,14,3,16,Draw,Draw,0,0,13,7,5,11,2,0,0,0,10,8,5,19,2,0
2010/11,2010-11-13,22,19,29,HomeWin,Draw,2,0,14,7,4,14,2,0,0,0,10,6,3,10,3,1
2010/11,2010-11-13,32,25,10,HomeWin,HomeWin,4,2,20,12,12,11,2,0,2,0,12,8,6,11,2,0
2010/11,2010-11-13,11,13,30,Draw,Draw,0,0,17,4,8,7,0,0,0,0,16,5,7,7,1,0
2010/11,2010-11-13,35,27,6,HomeWin,Draw,1,0,13,4,5,13,1,0,0,0,12,6,5,13,1,0
2010/11,2010-11-13,10,8,12,AwayWin,AwayWin,2,0,10,6,12,10,1,0,3,1,13,7,3,10,0,0
2010/11,2010-11-14,17,1,26,AwayWin,AwayWin,0,0,14,7,6,9,1,0,3,1,19,9,3,13,2,0
2010/11,2010-11-14,33,17,2,AwayWin,AwayWin,1,0,14,7,9,15,2,0,2,1,13,8,2,14,2,0
2010/11,2010-11-20,29,2,25,AwayWin,HomeWin,2,2,12,7,2,17,3,0,3,0,10,6,6,16,1,0
2010/11,2010-11-20,22,20,1,HomeWin,HomeWin,1,1,1,1,4,9,2,0,0,0,24,9,14,2,0,0
2010/11,2010-11-20,3,30,8,HomeWin,HomeWin,2,2,13,9,4,7,0,0,1,0,19,10,11,9,2,0
2010/11,2010-11-20,33,12,3,HomeWin,HomeWin,5,2,18,9,2,13,0,0,1,0,6,1,3,9,2,1
2010/11,2010-11-20,14,29,13,HomeWin,HomeWin,3,3,19,11,10,8,0,0,0,0,6,1,2,8,1,0
2010/11,2010-11-20,6,33,27,HomeWin,HomeWin,2,1,17,12,11,10,0,0,0,0,10,4,1,14,2,2
2010/11,2010-11-20,17,6,19,AwayWin,Draw,0,0,15,8,8,10,0,0,3,0,6,4,3,9,0,0
2010/11,2010-11-21,4,10,14,HomeWin,HomeWin,2,1,14,5,5,15,0,0,0,0,16,11,8,10,1,0
2010/11,2010-11-21,15,16,36,AwayWin,AwayWin,1,0,9,3,7,13,2,0,4,3,11,8,7,16,1,0
2010/11,2010-11-22,10,26,17,Draw,Draw,2,1,13,8,4,5,0,0,2,1,10,8,4,7,2,0
2010/11,2010-11-27,3,14,2,AwayWin,AwayWin,2,0,6,4,3,10,1,0,4,2,17,10,8,7,1,0
2010/11,2010-11-27,23,12,30,Draw,AwayWin,2,0,24,14,4,8,2,0,2,1,16,10,4,14,2,0
2010/11,2010-11-27,15,17,6,AwayWin,AwayWin,1,1,12,4,2,11,1,1,4,2,7,3,2,18,3,1
2010/11,2010-11-27,33,16,20,Draw,AwayWin,1,0,11,7,7,10,1,0,1,1,7,3,4,9,0,0
2010/11,2010-11-27,14,33,10,HomeWin,HomeWin,7,3,15,11,5,6,0,0,1,0,3,2,2,6,2,0
2010/11,2010-11-27,10,19,36,Draw,Draw,1,0,16,9,6,8,2,0,1,0,9,4,2,10,2,0
2010/11,2010-11-27,22,13,27,HomeWin,HomeWin,3,1,15,9,7,8,0,0,1,0,10,10,2,8,0,0
2010/11,2010-11-27,8,8,26,HomeWin,Draw,3,0,14,8,11,11,2,0,2,0,15,9,5,10,3,0
2010/11,2010-11-28,32,3,1,Draw,Draw,1,1,5,3,6,9,2,0,1,1,17,13,7,11,1,0
2010/11,2010-11-28,6,25,29,HomeWin,AwayWin,2,0,20,13,5,6,0,0,1,1,12,8,8,16,5,0
2010/11,2010-12-04,17,2,16,HomeWin,Draw,2,1,15,9,3,7,0,0,1,1,11,7,7,5,0,0
2010/11,2010-12-04,11,20,25,Draw,AwayWin,1,0,13,5,6,14,1,0,1,1,10,5,11,7,1,0
2010/11,2010-12-04,33,10,8,HomeWin,HomeWin,3,2,10,7,8,9,0,0,0,0,10,7,11,11,2,0
2010/11,2010-12-04,14,1,17,Draw,HomeWin,1,1,12,5,7,7,1,0,1,0,16,7,2,11,4,0
2010/11,2010-12-04,32,36,12,HomeWin,HomeWin,1,1,19,10,8,12,3,1,0,0,7,2,8,18,2,0
2010/11,2010-12-04,8,27,19,Draw,Draw,2,2,15,8,5,11,1,0,2,2,11,7,4,10,4,0
2010/11,2010-12-05,6,26,13,HomeWin,HomeWin,1,1,17,12,9,6,1,0,0,0,8,2,3,8,3,0
