Season,Date,Referee,HomeTeam,AwayTeam,FullTime,HalfTime,HomeGoals,HomeGoalsHalftime,HomeShots,HomeShotsOnTarget,HomeCorners,HomeFouls,HomeYellowCards,HomeRedCards,AwayGoals,AwayGoalsHalftime,AwayShots,AwayShotsOnTarget,AwayCorners,AwayFouls,AwayYellowCards,AwayRedCards
2010/11,2010-10-03,23,Chelsea,Arsenal,HomeWin,HomeWin,2,1,11,6,10,7,1,0,0,0,13,5,10,12,1,0
2010/11,2010-10-03,8,Liverpool,Blackpool,AwayWin,AwayWin,1,0,19,10,5,11,2,0,2,2,11,7,2,10,1,0
2010/11,2010-10-03,6,"Man 
City",Newcastle,HomeWin,Draw,2,1,9,5,4,11,3,0,1,1,8,4,4,13,2,0
2010/11,2010-10-16,6,Arsenal,Birmingham,HomeWin,Draw,2,1,18,13,7,16,2,1,1,1,6,4,3,9,2,0
2010/11,2010-10-16,15,"Aston 
Villa",Chelsea,Draw,Draw,0,0,11,5,9,11,4,0,0,0,13,6,5,11,3,0
2010/11,2010-10-16,10,Bolton,Stoke,HomeWin,HomeWin,2,1,11,6,5,10,2,1,1,0,8,3,6,8,2,0
2010/11,2010-10-16,23,Fulham,Tottenham,AwayWin,Draw,1,1,11,5,4,9,1,0,2,1,14,6,11,10,1,0
2010/11,2010-10-16,8,Man United,"West 
Brom",Draw,HomeWin,2,2,16,9,3,10,1,0,2,0,7,2,2,7,2,0
2010/11,2010-10-16,22,Newcastle,Wigan,Draw,AwayWin,2,0,9,4,6,13,2,0,2,2,8,4,3,14,1,0
2010/11,2010-10-16,3,Wolves,"West 
Ham",Draw,HomeWin,1,1,9,5,8,10,0,0,1,0,9,7,3,8,1,0
2010/11,2010-10-17,29,Blackpool,"Man 
City",AwayWin,Draw,2,0,16,5,3,9,0,0,3,0,13,8,9,9,2,0
2010/11,2010-10-17,33,Everton,Liverpool,HomeWin,HomeWin,2,1,9,6,8,10,2,0,0,0,15,9,7,9,2,0
2010/11,2010-10-18,14,Blackburn,Sunderland,Draw,Draw,0,0,9,3,5,12,2,1,0,0,16,7,3,11,1,0
2010/11,2010-10-23,35,Birmingham,Blackpool,HomeWin,HomeWin,2,1,17,8,9,8,1,0,0,0,14,6,10,16,1,0
2010/11,2010-10-23,14,Chelsea,Wolves,HomeWin,HomeWin,2,1,17,10,8,8,1,0,0,0,12,9,8,8,2,0
2010/11,2010-10-23,22,Sunderland,"Aston 
Villa",HomeWin,HomeWin,1,1,13,6,4,11,1,0,0,0,11,7,11,13,2,0
2010/11,2010-10-23,8,Tottenham,Everton,Draw,Draw,1,1,13,8,4,15,3,0,1,1,7,3,4,14,1,0
2010/11,2010-10-23,11,"West 
Brom",Fulham,HomeWin,HomeWin,2,2,14,7,7,3,0,0,1,1,9,3,5,8,0,0
2010/11,2010-10-23,17,"West 
Ham",Newcastle,AwayWin,Draw,1,1,5,1,2,12,0,0,2,1,13,8,6,6,0,0
2010/11,2010-10-23,33,Wigan,Bolton,Draw,Draw,1,0,15,9,5,8,0,0,1,0,9,2,0,14,2,0
2010/11,2010-10-24,29,Liverpool,Blackburn,HomeWin,Draw,2,0,17,10,15,17,2,0,1,0,4,2,4,12,3,0
2010/11,2010-10-24,3,"Man 
City",Arsenal,AwayWin,AwayWin,0,0,9,6,6,11,2,1,3,1,12,8,7,10,4,0
2010/11,2010-10-24,32,Stoke,"Man 
United",AwayWin,AwayWin,1,0,6,2,5,6,2,0,2,1,12,5,6,13,2,0
2010/11,2010-10-30,8,Arsenal,"West 
Ham",HomeWin,Draw,1,0,20,13,7,14,2,0,0,0,6,3,4,18,2,0
2010/11,2010-10-30,10,Blackburn,Chelsea,AwayWin,Draw,1,1,13,6,4,12,2,0,2,1,16,9,5,14,2,0
2010/11,2010-10-30,14,Everton,Stoke,HomeWin,Draw,1,0,18,10,6,16,1,0,0,0,9,1,2,14,1,0
2010/11,2010-10-30,32,Fulham,Wigan,HomeWin,HomeWin,2,2,15,9,7,7,0,0,0,0,8,3,1,12,0,0
2010/11,2010-10-30,3,"Man 
United",Tottenham,HomeWin,HomeWin,2,1,18,10,1,12,0,0,0,0,11,5,4,10,3,0
2010/11,2010-10-30,23,Wolves,"Man 
City",HomeWin,Draw,2,1,10,6,5,5,1,0,1,1,17,9,7,14,2,0
2010/11,2010-10-31,33,"Aston 
Villa",Birmingham,Draw,Draw,0,0,7,3,1,13,2,0,0,0,10,6,4,11,3,0
2010/11,2010-10-31,6,Bolton,Liverpool,AwayWin,Draw,0,0,14,10,1,15,2,0,1,0,10,4,4,13,2,0
2010/11,2010-10-31,29,Newcastle,Sunderland,HomeWin,HomeWin,5,3,16,12,8,8,3,0,1,0,11,5,6,18,6,1
2010/11,2010-11-01,4,Blackpool,"West 
Brom",HomeWin,HomeWin,2,1,21,8,8,16,2,0,1,0,12,5,2,13,3,2
2010/11,2010-11-06,4,Birmingham,"West 
Ham",Draw,Draw,2,0,8,5,3,12,0,0,2,0,16,8,4,14,1,0
2010/11,2010-11-06,11,Blackburn,Wigan,HomeWin,Draw,2,0,10,3,3,16,0,0,1,0,16,10,6,15,2,0
2010/11,2010-11-06,32,Blackpool,Everton,Draw,Draw,2,1,11,8,3,14,2,0,2,1,20,14,7,12,1,0
2010/11,2010-11-06,17,Bolton,Tottenham,HomeWin,HomeWin,4,1,18,8,7,13,1,0,2,0,11,6,6,9,0,0
2010/11,2010-11-06,10,Fulham,"Aston 
Villa",Draw,AwayWin,1,0,14,10,3,12,1,0,1,1,15,8,3,4,0,0
2010/11,2010-11-06,29,"Man 
United",Wolves,HomeWin,HomeWin,2,1,14,10,3,6,1,0,1,0,8,6,2,11,0,0
2010/11,2010-11-06,6,Sunderland,Stoke,HomeWin,HomeWin,2,1,14,7,6,10,0,0,0,0,11,5,9,13,5,0
2010/11,2010-11-07,23,Arsenal,Newcastle,AwayWin,AwayWin,0,0,11,8,12,16,3,1,1,1,7,2,2,12,1,0
2010/11,2010-11-07,33,Liverpool,Chelsea,HomeWin,HomeWin,2,2,9,7,2,15,0,0,0,0,11,7,5,17,2,0
2010/11,2010-11-07,14,West Brom,"Man 
City",AwayWin,AwayWin,0,0,13,7,6,15,3,1,2,2,9,5,1,16,4,1
2010/11,2010-11-09,3,Stoke,Birmingham,HomeWin,HomeWin,3,1,19,12,10,6,0,0,2,0,14,10,4,8,0,0
2010/11,2010-11-09,33,Tottenham,Sunderland,Draw,Draw,1,0,20,12,17,6,2,0,1,0,8,4,3,15,1,0
2010/11,2010-11-10,35,"Aston 
Villa",Blackpool,HomeWin,Draw,3,1,19,12,11,7,2,0,2,1,12,6,8,10,3,0
2010/11,2010-11-10,6,Chelsea,Fulham,HomeWin,HomeWin,1,1,19,10,4,14,2,1,0,0,5,3,4,15,0,0
2010/11,2010-11-10,29,Everton,Bolton,Draw,Draw,1,0,23,12,15,8,0,1,1,0,10,5,10,12,3,0
2010/11,2010-11-10,17,Man City,"Man 
United",Draw,Draw,0,0,6,4,8,10,0,0,0,0,7,4,5,12,2,0
2010/11,2010-11-10,8,Newcastle,Blackburn,AwayWin,AwayWin,1,0,9,3,4,16,3,0,2,1,7,5,1,15,4,0
2010/11,2010-11-10,23,West Ham,"West 
Brom",Draw,Draw,2,1,8,5,6,13,3,0,2,1,14,6,7,5,0,0
2010/11,2010-11-10,10,Wigan,Liverpool,Draw,AwayWin,1,0,10,8,5,7,0,0,1,1,8,3,4,10,2,0
2010/11,2010-11-10,22,Wolves,Arsenal,AwayWin,AwayWin,0,0,14,7,5,7,1,0,2,1,12,8,2,14,2,0
2010/11,2010-11-13,23,Aston Villa,"Man 
United",Draw,Draw,2,0,12,6,9,11,3,0,2,0,16,10,7,9,4,0
2010/11,2010-11-13,8,"Man 
City",Birmingham,Draw,Draw,0,0,21,11,6,15,2,0,0,0,5,3,4,11,0,0
2010/11,2010-11-13,14,Newcastle,Fulham,Draw,Draw,0,0,13,7,5,11,2,0,0,0,10,8,5,19,2,0
2010/11,2010-11-13,22,Stoke,Liverpool,HomeWin,Draw,2,0,14,7,4,14,2,0,0,0,10,6,3,10,3,1
2010/11,2010-11-13,32,Tottenham,Blackburn,HomeWin,HomeWin,4,2,20,12,12,11,2,0,2,0,12,8,6,11,2,0
2010/11,2010-11-13,11,"West 
Ham",Blackpool,Draw,Draw,0,0,17,4,8,7,0,0,0,0,16,5,7,7,1,0
2010/11,2010-11-13,35,Wigan,"West 
Brom",HomeWin,Draw,1,0,13,4,5,13,1,0,0,0,12,6,5,13,1,0
2010/11,2010-11-13,10,Wolves,Bolton,AwayWin,AwayWin,2,0,10,6,12,10,1,0,3,1,13,7,3,10,0,0
2010/11,2010-11-14,17,Chelsea,Sunderland,AwayWin,AwayWin,0,0,14,7,6,9,1,0,3,1,19,9,3,13,2,0
2010/11,2010-11-14,33,Everton,Arsenal,AwayWin,AwayWin,1,0,14,7,9,15,2,0,2,1,13,8,2,14,2,0
2010/11,2010-11-20,29,Arsenal,Tottenham,AwayWin,HomeWin,2,2,12,7,2,17,3,0,3,0,10,6,6,16,1,0
2010/11,2010-11-20,22,Birmingham,Chelsea,HomeWin,HomeWin,1,1,1,1,4,9,2,0,0,0,24,9,14,2,0,0
2010/11,2010-11-20,3,Blackpool,Wolves,HomeWin,HomeWin,2,2,13,9,4,7,0,0,1,0,19,10,11,9,2,0
2010/11,2010-11-20,33,Bolton,Newcastle,HomeWin,HomeWin,5,2,18,9,2,13,0,0,1,0,6,1,3,9,2,1
2010/11,2010-11-20,14,Liverpool,"West 
Ham",HomeWin,HomeWin,3,3,19,11,10,8,0,0,0,0,6,1,2,8,1,0
2010/11,2010-11-20,6,"Man 
United",Wigan,HomeWin,HomeWin,2,1,17,12,11,10,0,0,0,0,10,4,1,14,2,2
2010/11,2010-11-20,17,"West 
Brom",Stoke,AwayWin,Draw,0,0,15,8,8,10,0,0,3,0,6,4,3,9,0,0
2010/11,2010-11-21,4,Blackburn,"Aston 
Villa",HomeWin,HomeWin,2,1,14,5,5,15,0,0,0,0,16,11,8,10,1,0
2010/11,2010-11-21,15,Fulham,"Man 
City",AwayWin,AwayWin,1,0,9,3,7,13,2,0,4,3,11,8,7,16,1,0
2010/11,2010-11-22,10,Sunderland,Everton,Draw,Draw,2,1,13,8,4,5,0,0,2,1,10,8,4,7,2,0
2010/11,2010-11-27,3,"Aston 
Villa",Arsenal,AwayWin,AwayWin,2,0,6,4,3,10,1,0,4,2,17,10,8,7,1,0
2010/11,2010-11-27,23,Bolton,Blackpool,Draw,AwayWin,2,0,24,14,4,8,2,0,2,1,16,10,4,14,2,0
2010/11,2010-11-27,15,Everton,"West 
Brom",AwayWin,AwayWin,1,1,12,4,2,11,1,1,4,2,7,3,2,18,3,1
2010/11,2010-11-27,33,Fulham,Birmingham,Draw,AwayWin,1,0,11,7,7,10,1,0,1,1,7,3,4,9,0,0
2010/11,2010-11-27,14,"Man 
United",Blackburn,HomeWin,HomeWin,7,3,15,11,5,6,0,0,1,0,3,2,2,6,2,0
2010/11,2010-11-27,10,Stoke,"Man 
City",Draw,Draw,1,0,16,9,6,8,2,0,1,0,9,4,2,10,2,0
2010/11,2010-11-27,22,"West 
Ham",Wigan,HomeWin,HomeWin,3,1,15,9,7,8,0,0,1,0,10,10,2,8,0,0
2010/11,2010-11-27,8,Wolves,Sunderland,HomeWin,Draw,3,0,14,8,11,11,2,0,2,0,15,9,5,10,3,0
2010/11,2010-11-28,32,Newcastle,Chelsea,Draw,Draw,1,1,5,3,6,9,2,0,1,1,17,13,7,11,1,0
2010/11,2010-11-28,6,Tottenham,Liverpool,HomeWin,AwayWin,2,0,20,13,5,6,0,0,1,1,12,8,8,16,5,0
2010/11,2010-12-04,17,Arsenal,Fulham,HomeWin,Draw,2,1,15,9,3,7,0,0,1,1,11,7,7,5,0,0
2010/11,2010-12-04,11,Birmingham,Tottenham,Draw,AwayWin,1,0,13,5,6,14,1,0,1,1,10,5,11,7,1,0
2010/11,2010-12-04,33,Blackburn,Wolves,HomeWin,HomeWin,3,2,10,7,8,9,0,0,0,0,10,7,11,11,2,0
2010/11,2010-12-04,14,Chelsea,Everton,Draw,HomeWin,1,1,12,5,7,7,1,0,1,0,16,7,2,11,4,0
2010/11,2010-12-04,32,"Man 
City",Bolton,HomeWin,HomeWin,1,1,19,10,8,12,3,1,0,0,7,2,8,18,2,0
2010/11,2010-12-04,8,Wigan,Stoke,Draw,Draw,2,2,15,8,5,11,1,0,2,2,11,7,4,10,4,0
2010/11,2010-12-05,6,Sunderland,"West 
Ham",HomeWin,HomeWin,1,1,17,12,9,6,1,0,0,0,8,2,3,8,3,0
2010/11,2010-12-05,23,"West 
Brom",Newcastle,HomeWin,HomeWin,3,1,20,12,7,11,0,0,1,0,11,7,3,9,5,0
2010/11,2010-12-06,29,Liverpool,"Aston 
Villa",HomeWin,HomeWin,3,2,12,7,4,12,0,0,0,0,5,2,3,13,1,0
2010/11,2010-12-11,22,Aston Villa,"West 
Brom",HomeWin,HomeWin,2,1,6,3,6,8,0,0,1,0,11,4,13,14,2,0
2010/11,2010-12-11,4,Everton,Wigan,Draw,Draw,0,0,16,8,9,13,2,0,0,0,5,4,4,18,4,0
2010/11,2010-12-11,31,Fulham,Sunderland,Draw,Draw,0,0,14,13,4,14,0,0,0,0,11,2,3,10,1,0
2010/11,2010-12-11,15,Newcastle,Liverpool,HomeWin,HomeWin,3,1,8,5,2,19,2,0,1,0,16,7,5,13,1,0
2010/11,2010-12-11,35,Stoke,Blackpool,AwayWin,Draw,0,0,16,5,10,12,0,0,1,0,10,5,4,11,2,0
2010/11,2010-12-11,29,West Ham,"Man 
City",AwayWin,AwayWin,1,0,13,3,2,10,1,0,3,1,12,7,6,13,3,0
2010/11,2010-12-12,3,Bolton,Blackburn,HomeWin,Draw,2,0,12,7,3,12,4,1,1,0,16,11,10,13,3,0
2010/11,2010-12-12,23,Tottenham,Chelsea,Draw,HomeWin,1,1,10,3,1,9,2,0,1,0,13,7,7,13,2,0
2010/11,2010-12-12,6,Wolves,Birmingham,HomeWin,HomeWin,1,1,14,9,7,9,2,0,0,0,3,0,2,15,4,0
2010/11,2010-12-13,33,"Man 
United",Arsenal,HomeWin,HomeWin,1,1,14,10,5,7,0,0,0,0,11,6,4,16,4,0
2010/11,2010-12-18,23,Blackburn,"West 
Ham",Draw,Draw,1,0,13,5,9,12,2,0,1,0,11,3,4,10,3,0
2010/11,2010-12-18,17,Sunderland,Bolton,HomeWin,HomeWin,1,1,13,5,2,6,1,0,0,0,12,8,5,13,3,0
2010/11,2010-12-20,10,"Man 
City",Everton,AwayWin,AwayWin,1,0,25,15,11,8,3,1,2,2,4,3,0,13,2,1
2010/11,2010-12-26,6,"Aston 
Villa",Tottenham,AwayWin,AwayWin,1,0,26,15,8,13,3,0,2,1,13,8,4,11,3,1
2010/11,2010-12-26,8,Blackburn,Stoke,AwayWin,Draw,0,0,12,8,5,12,1,0,2,0,11,9,3,20,4,0
2010/11,2010-12-26,33,Bolton,"West 
Brom",HomeWin,HomeWin,2,1,12,8,5,8,1,0,0,0,15,9,7,8,1,0
2010/11,2010-12-26,22,Fulham,"West 
Ham",AwayWin,AwayWin,1,1,13,6,8,12,1,0,3,2,10,7,4,10,1,0
2010/11,2010-12-26,29,"Man 
United",Sunderland,HomeWin,HomeWin,2,1,14,10,5,9,0,0,0,0,6,2,3,10,2,0
2010/11,2010-12-26,17,Newcastle,"Man 
City",AwayWin,AwayWin,1,0,20,10,6,7,1,0,3,2,9,6,3,15,5,0
2010/11,2010-12-26,23,Wolves,Wigan,AwayWin,AwayWin,1,0,8,4,7,7,1,0,2,2,13,8,3,14,3,0
2010/11,2010-12-27,3,Arsenal,Chelsea,HomeWin,HomeWin,3,1,10,8,4,12,2,0,1,0,10,4,6,16,3,0
2010/11,2010-12-28,15,Birmingham,"Man 
United",Draw,Draw,1,0,8,3,4,10,3,0,1,0,10,4,4,11,3,0
2010/11,2010-12-28,4,Man City,"Aston 
Villa",HomeWin,HomeWin,4,3,11,8,8,14,1,0,0,0,9,4,6,12,2,0
2010/11,2010-12-28,11,Stoke,Fulham,AwayWin,AwayWin,0,0,14,8,9,8,1,0,2,2,4,3,2,12,2,0
2010/11,2010-12-28,32,Sunderland,Blackpool,AwayWin,Draw,0,0,32,16,9,6,2,0,2,0,9,4,2,5,0,0
2010/11,2010-12-28,35,Tottenham,Newcastle,HomeWin,Draw,2,0,13,8,9,9,2,1,0,0,12,8,7,16,4,0
2010/11,2010-12-28,29,"West 
Brom",Blackburn,AwayWin,Draw,1,1,21,11,8,9,1,1,3,1,6,4,5,13,3,1
2010/11,2010-12-28,33,"West 
Ham",Everton,Draw,Draw,1,1,11,2,4,12,1,0,1,1,13,5,7,15,0,0
2010/11,2010-12-29,8,Chelsea,Bolton,HomeWin,Draw,1,0,12,7,6,12,1,0,0,0,6,2,3,24,1,0
2010/11,2010-12-29,10,Liverpool,Wolves,AwayWin,Draw,0,0,9,5,2,8,1,0,1,0,7,3,8,11,1,0
2010/11,2010-12-29,14,Wigan,Arsenal,Draw,AwayWin,2,1,7,5,3,16,1,1,2,2,15,9,4,11,0,0
2010/11,2011-01-01,10,Birmingham,Arsenal,AwayWin,AwayWin,0,0,2,1,4,7,3,0,3,1,18,11,5,9,1,0
2010/11,2011-01-01,11,Liverpool,Bolton,HomeWin,AwayWin,2,0,16,7,7,11,2,0,1,1,10,4,4,16,2,0
2010/11,2011-01-01,3,"Man 
City",Blackpool,HomeWin,HomeWin,1,1,15,4,10,11,0,0,0,0,8,6,4,9,0,0
2010/11,2011-01-01,32,Stoke,Everton,HomeWin,HomeWin,2,1,7,3,1,14,4,0,0,0,15,10,5,8,1,0
2010/11,2011-01-01,23,Sunderland,Blackburn,HomeWin,HomeWin,3,2,13,7,3,13,1,0,0,0,11,3,2,9,2,0
2010/11,2011-01-01,8,Tottenham,Fulham,HomeWin,HomeWin,1,1,13,9,5,11,2,0,0,0,12,4,1,9,1,0
2010/11,2011-01-01,17,West Brom,"Man 
United",AwayWin,Draw,1,1,17,8,4,8,1,0,2,1,5,3,5,13,3,0
2010/11,2011-01-01,14,"West 
Ham",Wolves,HomeWin,Draw,2,0,11,6,5,7,0,0,0,0,15,10,10,14,1,0
